language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
crystal,17,0.0011508258868128892,11497215,0.0001939590431584775,5.5699279844446385,0.3276,0.4539,0.0099,1.0,2.8737502398221908e-05
twig,76,0.005144868670457623,21892344,0.00036932579713750124,5.041199670399042,0.0663,0.1106,0.0201,0.6733205035307929,8.956400243614087e-06
ejs,138,0.00934199837530463,4695703,7.9216928694157e-05,4.933652251681383,0.0358,0.0792,0.0049,0.45349875683265023,3.286902736504055e-05
sass,73,0.004941781749255348,2007266,3.38627565653547e-05,4.508434633921088,0.0618,0.1549,0.0041,0.9448056376449193,2.0083656152357704e-06
yara,18,0.0012185215272136475,15410501,0.00025997652723313956,4.418366434538057,0.2455,0.3581,0.0306,0.9996483495244666,2.0777664011187975e-05
xslt,232,0.0157053885729759,18516986,0.0003123832064320728,4.284148578849052,0.0185,0.0929,0.0011,1.0,2.5950575521858883e-06
elm,25,0.0016923910100189548,5529600,9.328484550816151e-05,3.934983982516558,0.1574,0.2829,0.0145,0.9865324454482911,2.3118989602306372e-05
solidity,35,0.0023693474140265365,12676538,0.0002138543274212129,3.8617319059854567,0.1103,0.1762,0.0339,0.7405678893880577,3.52159916530971e-05
qml,44,0.0029786081776333605,18088441,0.00030515361403510104,3.7871484340727735,0.0861,0.1701,0.016,0.9231324763317883,3.2638386208981775e-05
matlab,107,0.007243433522881126,8141607,0.00013734963671570573,3.779991102403757,0.0353,0.1052,0.0016,0.71477836157774,1.0780129486883803e-06
actionscript,32,0.002166260492824262,8462491,0.00014276297843410143,3.621632140607502,0.1132,0.2531,0.0126,1.0,4.385108393280532e-06
webassembly,24,0.0016246953696181965,46070706,0.0007772169219585377,3.5216868843827944,0.1467,0.2748,0.0059,0.8550800437676391,4.991116355400035e-05
openscad,10,0.0006769564040075819,79315733,0.0013380634945152612,3.5096619571137344,0.351,0.4647,0.0476,1.0,1.1313706693060248e-05
scheme,58,0.003926347143243975,40525696,0.0006836721083750577,3.180775605171796,0.0548,0.1831,0.0006,0.8657094780129255,1.1487006655641825e-06
inno setup,107,0.007243433522881126,6905318,0.00011649333094884383,3.1346979382735305,0.0293,0.0759,0.002,0.4465686706629055,1.700400932832716e-05
