repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
3845814,go_shell,0,560,5,3592,1282,90,1,0,0,0,1
35562993,c#_shell,0,20398,8,2262,4912,203,23,3,0,0,20
72070328,html_javascript,0,7523,2,3217,4440,65,1,0,0,0,1
37647794,css_html_javascript_php,0,20240,4,2228,2836,189,39,2,26,1,10
3833911,css_html_javascript_ruby,0,823,4,3400,1276,188,0,0,0,0,0
50947339,html_javascript,0,155,2,2938,1258,81,2,0,0,0,2
12465340,c_shell,0,432711,3,2890,4744,124,3,3,0,0,0
1872943,css_html_javascript_php,0,10122,6,3687,2280,172,20,1,0,1,18
766701,python_shell,0,463,2,4394,1280,149,9,0,0,1,8
20155470,python_shell,0,13251,4,3067,1776,51,1,1,0,0,0
73518607,css_html_javascript_shell_typescript,0,51848,7,3118,7849,320,16,1,0,0,15
2766273,c_shell,0,76473,6,8972,15152,434,368,247,0,1,120
140937793,html_python_shell,0,99912,7,3434,6373,168,14,3,0,0,11
22249306,html_javascript_shell_typescript,0,21415,6,2534,2085,50,2,0,0,0,2
6181245,c#_shell,0,7597,6,4739,2595,165,0,0,0,0,0
100339187,php_shell,0,13000,4,3334,1209,96,4,0,0,0,4
62023,html_ruby,0,1462,3,4574,1098,100,2,0,0,0,2
27642603,go_shell,0,112600,6,2432,1371,117,4,0,0,0,4
3783584,css_html_javascript_php,0,20121,9,3399,4057,327,3,0,0,0,3
2681994,css_html_java_javascript,0,15074,6,3392,2705,92,29,0,5,1,23
19989121,html_java,0,6465,4,2576,1255,194,11,3,0,0,8
1936302,c_cpp,0,83898,2,3836,1423,56,0,0,0,0,0
54778964,python_shell,0,1291,3,2842,2737,47,2,0,0,0,2
81120794,c_cpp_python_shell,0,15302,5,2587,2978,152,8,0,0,0,8
43542144,go_shell,0,351,4,2121,1279,110,3,1,0,0,2
24107001,c_shell,0,147717,13,4760,20000,380,481,433,1,0,47
2566570,java_javascript,0,27957,4,4028,3160,168,6,2,0,0,4
102689445,html_javascript_typescript,0,336476,8,4026,12768,753,22,0,0,0,22
12046604,c_cpp,0,202950,16,5274,2165,92,26,13,0,0,13
15516057,python_shell,0,294,2,2764,1216,27,6,0,0,0,6
6673802,css_html_javascript_ruby,0,12510,8,3113,4556,301,11,0,2,0,9
4923271,objectivec_ruby,0,582,5,7790,3875,159,21,4,0,0,17
16752601,css_html_javascript_typescript,0,7072,4,2718,1272,107,4,0,0,0,4
52334681,css_html_javascript_python_shell,0,180859,9,2692,16847,396,14,1,0,0,13
112297564,css_html_javascript_shell,0,20980,4,2235,1459,57,4,0,0,0,4
6547965,css_html_javascript_python_shell,0,3482,12,3145,1632,370,6,0,0,0,6
1503507,python_shell,0,9921,5,3446,2135,135,2,0,0,0,2
15231212,css_html_javascript_php,0,237336,10,3290,20000,755,144,6,7,3,128
27619584,c_shell,0,15324,8,5269,5272,237,20,9,1,0,10
30435844,html_javascript_shell_typescript,0,2609,4,3527,1109,133,13,1,0,0,12
35159920,c_cpp,0,46640,19,3141,2520,78,21,4,0,0,17
82609103,c_shell,0,96566,4,5472,18090,304,19,3,1,0,15
50392353,javascript_shell_typescript,0,1048,3,2070,1285,110,0,0,0,0,0
103603776,c_cpp,0,13939,10,1236,1053,147,37,8,0,0,29
73738971,python_shell,0,2448,2,1727,1408,179,1,0,0,0,1
23482820,javascript_shell,0,31671,4,2910,7987,130,50,5,0,0,45
23886834,python_shell,0,1135,2,1247,1427,637,0,0,0,0,0
1512901,html_javascript_python_shell,0,61177,7,4944,15013,411,246,1,0,1,244
114177044,css_html_javascript,0,114461,4,3402,1060,105,0,0,0,0,0
81362469,javascript_php,0,3295,5,1498,1338,9,2,0,1,0,1
45578949,objectivec_ruby,0,9455,3,2326,4912,169,10,1,0,0,9
40011265,c_cpp,0,119052,17,4995,15871,126,424,219,0,2,203
25990824,html_python_shell,0,117295,4,2455,1297,89,44,0,6,8,30
21437247,javascript_shell,0,1517,2,2569,1519,180,6,0,0,0,6
50924756,html_javascript_shell,0,25314,4,2446,1930,202,2,0,0,0,2
21663285,c_cpp_python_shell,0,694238,27,1975,20000,146,224,183,0,1,40
32895424,html_java,0,58205,12,2312,5455,294,4,1,0,0,3
1301850,css_html_javascript_python_shell,0,86424,7,3847,3210,33,21,0,0,2,19
57061619,c_cpp_python,0,44991,15,3981,3985,225,7,5,0,0,2
41767943,html_python_shell,0,19394,9,2786,1799,135,0,0,0,0,0
356066,c_cpp_python_shell,0,129183,14,4303,13680,555,132,11,0,1,120
44137852,c_cpp_shell,0,105479,9,5663,2491,64,52,23,0,1,28
59808890,go_shell,0,67,2,2962,1064,49,4,0,0,0,4
9119875,ruby_shell,0,4000,4,3761,4469,296,16,4,0,0,12
76109394,python_shell,0,547,2,1811,1710,121,3,1,0,0,2
6659299,c_cpp_python,0,6001,4,4282,1920,181,9,8,0,0,1
14121294,html_python_shell,0,416096,4,4329,7370,114,12,0,0,0,12
84213938,css_html_javascript_shell,0,29410,5,1860,1510,54,1,0,0,1,0
57901437,python_shell,0,31395,6,1940,8226,175,36,9,0,0,27
26785339,css_html_javascript,0,14532,5,2439,2321,792,7,0,0,0,7
2252664,javascript_shell,0,3756,2,3985,2052,46,1,0,0,0,1
50223128,c_cpp_python_shell,0,80128,14,4030,9315,231,47,0,0,0,47
8941695,python_shell,0,18913,4,3019,1518,49,0,0,0,0,0
71485542,css_javascript_php,0,30349,5,2477,1078,83,8,0,0,0,8
37459110,javascript_python,0,29272,18,2221,7648,146,15,2,0,0,13
13973168,ruby_shell,0,1195,4,3296,2237,217,9,0,0,0,9
8451893,html_ruby,0,3152,5,3039,1504,76,5,1,0,0,4
2522940,html_javascript,0,4587,3,3452,1607,44,0,0,0,0,0
37570386,html_ruby,0,1125,3,2218,1268,202,3,0,0,0,3
13108106,javascript_shell_typescript,0,5785,3,2855,1804,63,2,0,0,0,2
40267259,html_java_javascript,0,1102190,13,2057,1019,86,2,0,0,0,2
20724,html_ruby,0,48481,3,4809,4923,133,7,5,0,1,1
111427255,css_html_javascript_python_shell,0,37014,7,1326,5358,150,11,2,0,0,9
2974718,python_shell,0,3674,3,3362,1004,99,2,1,0,0,1
80733109,python_shell,0,28426,4,2436,3415,134,0,0,0,0,0
70207011,css_javascript_typescript,0,14071,3,5340,8664,325,20,0,0,0,20
747755,css_javascript_php,0,74803,8,7535,12864,243,72,2,1,4,65
1062237,c_python_shell,0,6987,4,3908,1953,210,22,19,0,0,3
1096480,c_cpp,0,8931,6,3806,1748,103,13,7,0,0,6
52509220,html_java,0,35989,4,3178,2075,189,3,1,0,0,2
61485617,c_cpp,0,24001,13,3203,1421,79,13,0,0,1,12
2629424,c#_shell,0,81002,3,6000,7495,118,43,5,0,1,37
32873163,c_cpp_shell,0,34170,5,3099,2452,24,27,2,0,0,25
1334924,c_cpp,0,31199,9,4155,8269,191,190,35,0,0,155
38835282,objectivec_ruby,0,365622,5,2199,1910,90,8,0,0,0,8
68841963,python_shell,0,13900,6,1803,1343,86,30,8,0,3,19
1201108,go_shell,0,6418,4,4006,1854,52,40,28,0,0,12
4297273,html_javascript_shell,0,127757,8,2903,5394,142,11,2,2,0,7
4229977,c_cpp_shell,0,8015,8,6675,1342,35,36,21,0,0,15
6723399,javascript_php,0,814762,9,5413,20480,456,71,1,0,2,68
7865549,javascript_python,0,1014,5,3012,1710,63,9,0,0,0,9
30087179,html_javascript,0,13538,2,2804,1109,127,2,0,0,0,2
20675636,java_shell,0,17543,5,3231,2976,279,2,1,0,0,1
38279227,c_cpp_python,0,126814,7,4486,1625,107,4,0,0,0,4
13486798,c_cpp_python_shell,0,3693,11,2845,1040,48,14,14,0,0,0
111978936,css_html_javascript_python_shell,0,178245,6,613,1182,65,0,0,0,0,0
73269516,go_shell,0,7851,2,1891,1884,100,5,1,0,3,1
507123,css_html_javascript,0,68894,6,2527,1941,50,3,0,0,0,3
84003203,html_javascript_shell,0,8348,5,1923,2416,84,4,0,0,1,3
73779599,python_shell,0,52461,3,1701,8486,128,64,20,8,1,35
79658844,java_shell,0,1028469,3,1651,3023,270,7,0,0,0,7
646423,c_python_shell,0,3208,5,5242,1316,60,19,8,0,0,11
4518517,css_javascript,0,5079,6,3314,1146,152,0,0,0,0,0
4709330,java_javascript,0,37255,11,3282,4873,69,54,5,0,0,49
10088951,html_javascript_ruby,0,21023,7,2986,4058,206,12,0,1,0,11
16246536,php_shell,0,2237,7,2728,1786,116,11,0,0,0,11
92691776,html_javascript_typescript,0,41461,3,1516,4890,139,1,0,0,0,1
3769702,css_html_javascript_python_shell,0,126445,7,4619,16308,89,31,3,9,0,19
27541956,css_html_javascript_typescript,0,23991,4,5448,18171,202,17,3,2,0,12
50216100,javascript_python,0,2814,3,1951,1387,15,2,0,0,0,2
73417046,go_shell,0,298,4,2027,2039,100,2,0,0,0,2
6982043,c_cpp_python,0,13100,8,4218,3283,32,32,18,0,0,14
1719690,javascript_typescript,0,6023,2,3889,1938,103,7,3,0,0,4
48528437,css_html_javascript_shell,0,153850,4,2044,3796,43,6,2,0,0,4
38333501,c_cpp,0,755,3,3096,1432,115,6,3,0,0,3
3070373,css_html_javascript_php,0,126801,6,3236,1419,25,26,0,3,0,23
1505170,html_java,0,2370,5,2782,1044,43,2,0,0,0,2
3376848,html_java_javascript,0,11154,3,3565,3510,144,4,0,0,0,4
67067566,javascript_shell,0,1014641,2,1794,19814,961,2,0,0,0,2
3459673,c_cpp_python,0,50794,7,6366,16363,306,289,182,0,1,106
137503442,c_cpp_python_shell,0,429351,18,977,20000,472,60,9,1,2,48
113471037,css_javascript_php,0,52753,7,1328,6798,119,42,2,5,1,34
79353335,html_java,0,24747,7,2082,2867,33,27,10,0,0,17
113404957,go_shell,0,39223,7,2491,12022,315,27,0,0,0,27
115576472,html_javascript,0,1846,3,3484,1017,57,2,0,0,0,2
41325282,c_cpp_python,0,92295,5,2859,1192,18,7,7,0,0,0
99262393,css_html_javascript_shell_typescript,0,16646,7,3170,4797,227,7,0,0,0,7
44268071,css_html_javascript_ruby,0,2751,5,4091,2504,93,5,0,0,0,5
10923187,c_cpp_shell,0,538632,25,5865,20000,173,352,35,0,0,317
25780987,c_cpp_shell,0,142923,4,2444,1682,26,47,13,0,0,34
4885383,css_html_javascript_shell,0,5846,5,3306,7763,159,11,0,0,1,10
33770699,css_html_java_javascript,0,89736,5,3701,13228,413,10,0,0,0,10
13111393,python_shell,0,60973,4,2814,5005,46,253,0,0,0,253
43618365,c#_shell,0,91507,3,1977,1245,37,9,0,0,0,9
46439446,c_cpp_python_shell,0,71391,14,5781,7648,169,131,1,0,0,130
72425875,c_cpp_python_shell,0,3729,7,8558,1504,68,9,2,0,0,7
57239556,html_javascript_shell_typescript,0,4189,5,1662,1346,46,7,0,0,0,7
52980493,html_java,0,9817,4,1981,1485,121,2,1,0,0,1
1447882,html_python,0,2149,3,4162,7733,161,15,1,0,0,14
123602760,css_javascript_typescript,0,19765,3,1197,3610,14,13,0,0,0,13
62303152,html_python_shell,0,3322,8,1846,1980,69,1,0,0,0,1
33492893,javascript_typescript,0,588,3,2495,1644,199,0,0,0,0,0
47966876,css_javascript,0,8691,3,1965,1631,93,4,0,0,0,4
16645488,php_shell,0,25515,4,3554,6328,141,5,0,0,0,5
36204628,html_java,0,2792,7,926,1295,8,1,0,0,0,1
26941088,c_cpp,0,70404,13,4695,5694,113,45,20,0,0,25
33565912,html_javascript,0,430,3,2698,1349,175,4,2,0,0,2
58235421,css_html_javascript_shell,0,10869,4,1891,1077,40,0,0,0,0,0
21611022,javascript_php,0,18588,6,2425,1145,80,7,0,0,0,7
