language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
scss,987,0.08126132059937428,90217335,0.0015511619003896666,82.95562295575354,0.084,0.1456,0.028,0.9972389038448264,1.7895366240973185e-07
vue,371,0.03054503540260168,63175516,0.0010862153427238545,79.53776365215138,0.2144,0.2441,0.1162,0.9695035682565752,1.0421846538147968e-05
vim script,227,0.018689280421537956,83872910,0.0014420783152906422,61.50356608730636,0.2709,0.3918,0.0037,0.9998360452982676,8.10231668924615e-07
makefile,3466,0.2853614358636588,180792506,0.003108476294308297,54.46841840722733,0.0157,0.0581,0.0034,0.9461150432096351,7.306459675218989e-07
clojure,107,0.008809484603984851,48298994,0.0008304341878414953,45.01523562855997,0.4207,0.4468,0.1491,0.9993552144431965,1.1974517438694373e-06
emacs lisp,232,0.019100938580602668,31670917,0.0005445374749853052,43.46183294114428,0.1873,0.3641,0.0009,0.9997043916649199,9.560295618107338e-07
haskell,104,0.008562489708546023,85161926,0.0014642411569240454,40.867865377722026,0.393,0.4293,0.0733,0.9999159418695687,3.8606398578172665e-06
lua,409,0.0336736374114935,121328968,0.002086083262991498,39.63534540905234,0.0969,0.2229,0.0057,0.9995422297742798,2.0603449280947536e-07
dart,83,0.00683352544047423,149684288,0.0025736136478932145,36.313577028754345,0.4375,0.4306,0.238,0.9993137879604798,1.4116818116023167e-05
perl,660,0.05433887699654207,348385625,0.005990007443064482,33.50806978356277,0.0508,0.1548,0.003,0.9980352209453013,1.0618974727371098e-07
dockerfile,2682,0.22081343652231186,12213621,0.00020999626691476912,32.43329660138708,0.0121,0.0604,0.0012,0.9900263046557402,1.0565201290856293e-06
tex,258,0.021241561007739173,58930485,0.0010132279245832826,30.685599946994326,0.1189,0.2683,0.0078,0.9981027683424215,6.452338678207563e-07
coffeescript,179,0.014737362094516713,32744163,0.0005629904508457162,30.222473360362823,0.1688,0.294,0.0155,0.9989781320253424,4.529572497918198e-07
elixir,79,0.00650419891322246,26475659,0.0004552122220026648,25.944395058238925,0.3284,0.4158,0.0387,0.9998179451821323,3.61983483591659e-06
cmake,1153,0.09492837148032274,108189923,0.001860175614405942,25.710914855009,0.0223,0.0507,0.0094,0.8143263917376511,2.4941570139780685e-06
powershell,688,0.05664416268730446,91521232,0.0015735806001709492,25.22427165060992,0.0367,0.1347,0.0016,0.9994913016621516,1.7984198935000375e-06
r,173,0.014243372303639057,28503545,0.000490078908117186,24.31157756614287,0.1405,0.3045,0.002,0.9969823764563145,3.624899417037279e-07
assembly,449,0.0369669026840112,535405967,0.00920556273638195,22.55704069682393,0.0502,0.1463,0.0051,0.9764094876861462,1.7078622005690597e-06
less,347,0.028569076239091058,50406702,0.0008666733024944221,19.107280682279644,0.0551,0.0966,0.0171,0.7909209827860771,1.7895366240973185e-07
erlang,65,0.005351556067841264,33333120,0.0005731167492934346,18.485363512347764,0.2844,0.4108,0.0169,0.9997172171675814,1.0442743545091882e-06
groovy,226,0.018606948789725013,97014619,0.0016680317676599455,18.247093463078706,0.0807,0.1946,0.0039,0.9998683940070449,2.5139026357464687e-06
roff,551,0.04536472912893134,283195331,0.004869150788098991,15.262491797173032,0.0277,0.0776,0.0037,0.8640188906130764,6.583220687112687e-07
ocaml,57,0.004692903013337724,179311211,0.00308300748205356,15.023022507857181,0.2636,0.3687,0.0189,0.9903621287471767,3.011299089097468e-06
pug,115,0.009468137658488392,5491795,9.442379525786779e-05,13.292352651848995,0.1156,0.1728,0.0259,0.7588837451913673,1.1614312383629576e-05
objective-c++,275,0.022641198748559195,39146788,0.0006730747041932839,10.450607438331271,0.038,0.1215,0.0034,0.8554388325398469,4.54303209866402e-06
batchfile,1582,0.13024864152807508,9867018,0.0001696496841993731,10.425441268160556,0.0066,0.0474,0.0004,0.9589317773788151,3.4368333348838135e-08
plpgsql,144,0.011855754981063725,46524274,0.0007999203398336868,9.983717376956129,0.0693,0.1819,0.0049,0.9901860284198112,2.7933323674738736e-06
gherkin,152,0.012514408035567266,18640078,0.000320490278435864,9.214782395495261,0.0606,0.0969,0.015,0.5524928097535263,3.1143705798357974e-06
blade,93,0.007656841758603656,14693648,0.00025263689018675654,9.176892143579824,0.0987,0.1217,0.0648,0.7911453320500481,6.738953171014415e-06
common lisp,42,0.0034579285361435864,40502912,0.0006963913747755399,8.692137152831204,0.207,0.3709,0.0023,0.9980292860320715,1.8113697143273265e-06
jinja,108,0.008891816235797793,6155518,0.0001058355913391013,8.494507163557053,0.0787,0.202,0.0024,0.9791462456300138,7.010025263924874e-06
stylus,96,0.007903836654042483,4026248,6.922574801306306e-05,8.130459112470023,0.0847,0.1515,0.0236,0.9806753897556476,5.803263401614347e-07
vala,21,0.0017289642680717932,9275175,0.00015947376498592788,7.848160804917217,0.3737,0.4406,0.0332,0.9835036886861519,3.0019388446020418e-05
julia,37,0.0030462703770788736,6967427,0.00011979524008491576,7.723206517589732,0.2087,0.3906,0.0021,0.9998814638141352,9.651599644543166e-07
f#,72,0.005927877490531862,81373801,0.0013991096035045876,7.669048369990384,0.1065,0.2845,0.0018,0.9996212460493148,2.4066731918634718e-06
rich text format,161,0.013255392721883748,215062982,0.003697709579457082,7.337857940012831,0.0456,0.1206,0.0037,0.8069960228133117,2.8534245731692962e-06
