id,languages,classifier,clfType,fileType
2491877,"['typescript', 'html', 'javascript', 'shell']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
13672724,"['css', 'html', 'javascript']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
4124657,"['javascript', 'html']",JavaScript*,IRI,"['.ts', '.js', '.html']"
12373318,"['javascript', 'typescript', 'shell']",JS-CSS-HTML*_Shell*,IRI_ID,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
15192017,"['c', 'css', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
16327099,"['c++', 'c', 'javascript', 'shell']",Shell*_JavaScript*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
23613922,"['javascript', 'css', 'html', 'shell', 'ruby']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
3536659,"['python', 'java', 'html', 'c', 'shell', 'javascript']",JavaScript*_Java-C_Java-Python_Java*_Python*,FFI_IRI,"['.java', '.c', '.py', '.java', '.ts', '.js', '.html', '.java', '.py']"
10127104,"['c', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
16477702,"['java', 'html', 'shell', 'css']",JS-CSS-HTML*_Java*_Shell*,IRI_ID,"['.java', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
18055618,"['go', 'shell', 'javascript', 'ruby', 'python']",Go*_Shell*,IRI,"['.sh', '.bsh', '.zsh', '.go']"
3193843,"['php', 'html', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
8087816,"['python', 'javascript', 'html', 'shell']",JS-CSS-HTML*_Shell*_Python*,IRI_ID,"['.py', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
26521129,"['javascript', 'html']",JavaScript*,IRI,"['.ts', '.js', '.html']"
9527640,"['javascript', 'typescript', 'c++', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
2667,"['objective-c', 'html', 'ruby', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
14986290,"['html', 'python', 'javascript', 'shell']",Shell*_JavaScript*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py', '.ts', '.js', '.html']"
213238,"['php', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
15880682,"['javascript', 'html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
22328073,"['javascript', 'css', 'html']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
5899961,"['javascript', 'php', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
976103,"['javascript', 'ruby']",HI*,HI,['*']
9749905,"['java', 'css']",Java-C,FFI,"['.java', '.c']"
386126,"['ruby', 'html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
17818605,"['objective-c', 'ruby']",HI*,HI,['*']
11563368,"['python', 'javascript', 'shell', 'css']",Python*_Shell*_C-Python,FFI_IRI,"['.c', '.py', '.sh', '.bsh', '.zsh', '.py']"
18307175,"['javascript', 'css', 'html', 'shell']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
736644,"['c', 'c++', 'ruby', 'shell']",Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
6331631,"['c', 'python', 'shell', 'c++']",Java-C_Python*_Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh', '.py']"
5243244,"['html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
1703471,"['html', 'python']",HI*,HI,['*']
6768827,"['go', 'html']",Go*,IRI,['.go']
5262776,"['ruby', 'shell']",HI*,HI,['*']
726541,"['ruby', 'java', 'shell']",Java*_Java-C_Shell*,FFI_IRI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.java']"
11935508,"['php', 'css', 'javascript']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
4923301,"['c++', 'python', 'shell', 'ruby']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
20171642,"['java', 'shell', 'python']",Java*_Java-C_Shell*,FFI_IRI,"['.java', '.c', '.sh', '.bsh', '.zsh', '.java']"
847957,"['python', 'shell']",Shell*_Python*,IRI,"['.sh', '.bsh', '.zsh', '.py']"
6325420,"['java', 'javascript', 'css', 'shell', 'html', 'ruby']",JS-CSS-HTML*_Java*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.java', '.html', '.js', '.css']"
21413348,"['c++', 'python']",HI*,HI,['*']
18852165,"['python', 'ruby', 'shell', 'php']",Shell*_Ruby*,IRI,"['.sh', '.bsh', '.zsh', '.rb']"
20822620,"['c', 'c++', 'shell']",Java-C_C-C++,FFI,"['.c', '.cpp', '.java', '.c']"
18099749,"['python', 'c', 'shell']",Shell*_Python*,IRI,"['.py', '.sh', '.bsh', '.zsh']"
5360933,"['java', 'c++', 'c', 'javascript', 'objective-c', 'html', 'shell', 'python', 'css']",C-C++,FFI,"['.c', '.cpp']"
5635966,"['javascript', 'html']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
18188420,"['java', 'c++', 'shell', 'python']",Java-C,FFI,"['.java', '.c']"
3342539,"['javascript', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
4894175,"['javascript', 'html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
3701855,"['java', 'shell', 'c', 'go', 'ruby', 'javascript']",Java*_JavaScript*,IRI,"['.ts', '.js', '.html', '.java']"
828375,"['javascript', 'html']",JavaScript*,IRI,"['.ts', '.js', '.html']"
5274077,"['c', 'python', 'shell', 'c++', 'ruby', 'javascript']",Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
2008728,"['html', 'javascript', 'css']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
4950187,"['java', 'html', 'javascript', 'css', 'shell', 'python']",Java*_Java-C_Shell*,FFI_IRI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh']"
775386,"['javascript', 'css']",JavaScript*,IRI,"['.ts', '.js', '.html']"
17492418,"['typescript', 'javascript', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
25875083,"['python', 'c', 'c++']",C-Python_C-C++,FFI,"['.c', '.cpp', '.c', '.py']"
20500599,"['html', 'javascript']",JavaScript*,IRI,"['.ts', '.js', '.html']"
6944525,"['java', 'python', 'html', 'shell', 'css', 'ruby']",Java*_Java-C_Shell*,FFI_IRI,"['.java', '.c', '.java', '.sh', '.bsh', '.zsh']"
26854025,"['javascript', 'html', 'css', 'python', 'shell']",JS-CSS-HTML*_Shell*,IRI_ID,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
5939005,"['c++', 'c', 'shell']",Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
994615,"['c', 'ruby', 'javascript', 'html']",JS-CSS-HTML*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.html', '.js', '.css']"
790019,"['python', 'shell', 'html']",Python*_Shell*_C-Python,FFI_IRI,"['.c', '.py', '.py', '.sh', '.bsh', '.zsh']"
9719670,"['php', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
5057173,"['c', 'html', 'java', 'shell', 'objective-c', 'c++', 'python']",Java*_Java-C_Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.java', '.sh', '.bsh', '.zsh']"
14877272,"['c', 'c++', 'shell', 'ruby', 'html']",Shell*_C-C++,FFI_IRI,"['.c', '.cpp', '.sh', '.bsh', '.zsh']"
15737031,"['objective-c', 'ruby']",HI*,HI,['*']
15120144,"['java', 'html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
23304440,"['javascript', 'html']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
3455070,"['javascript', 'shell']",Shell*_JavaScript*,IRI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
9252268,"['html', 'javascript', 'css', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IRI_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
19608522,"['go', 'shell', 'python', 'c']",Go*_Shell*,IRI,"['.go', '.sh', '.bsh', '.zsh']"
13147353,"['c', 'python', 'html', 'java', 'shell', 'objective-c', 'c++', 'ruby', 'javascript', 'css']",Shell*_JavaScript*_C-Python_Java-C_Ruby*_Java-Python_Java*_Python*_C-C++,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.c', '.py', '.py', '.java', '.java', '.sh', '.bsh', '.zsh', '.py', '.ts', '.js', '.html', '.rb']"
8247368,"['java', 'css', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
13212165,"['c++', 'c', 'python', 'objective-c', 'html', 'java', 'shell']",C++-Objective-C_Shell*_C-Python_Java-C_C-C++_Python*,FFI_IRI,"['.c', '.cpp', '.c', '.py', '.mm', '.java', '.c', '.py', '.sh', '.bsh', '.zsh']"
4156651,"['python', 'shell']",Shell*_Python*,IRI,"['.py', '.sh', '.bsh', '.zsh']"
20015012,"['go', 'shell']",Shell*,IRI,"['.sh', '.bsh', '.zsh']"
23448856,"['c', 'javascript', 'css', 'c++', 'shell', 'ruby', 'python', 'html']",Java-C_Shell*_JavaScript*_C-C++,FFI_IRI,"['.c', '.cpp', '.java', '.c', '.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
13414105,"['python', 'css', 'c', 'shell']",Python*,IRI,['.py']
868127,"['python', 'c', 'shell']",Java-C_C-Python,FFI,"['.c', '.py', '.java', '.c']"
13441956,"['ruby', 'shell', 'html']",Shell*_Ruby*,IRI,"['.rb', '.sh', '.bsh', '.zsh']"
21871245,"['javascript', 'html', 'css']",JS-CSS-HTML*,ID,"['.html', '.js', '.css']"
901663,"['c', 'ruby', 'shell']",Ruby*,IRI,['.rb']
1006445,"['php', 'shell']",HI*,HI,['*']
