id,classifier,clfType,fileType
15516827,HD*,Hidden dependence,['*']
1666245,HD*,Hidden dependence,['*']
10980729,Java-C,FFI,"['.java', '.c']"
1995501,HD*,Hidden dependence,['*']
25084074,HD*,Hidden dependence,['*']
4402279,HD*,Hidden dependence,['*']
15819024,HD*,Hidden dependence,['*']
6778461,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
19961085,Java-C,FFI,"['.java', '.c']"
12260386,HD*,Hidden dependence,['*']
28681142,Python*,Implicit dependence,['.py']
1784297,HD*,Hidden dependence,['*']
12207953,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
14160461,Java-Python,FFI,"['.py', '.java']"
26682353,HD*,Hidden dependence,['*']
21692,Ruby*,Implicit dependence,['.rb']
27889694,Java-C,FFI,"['.java', '.c']"
11239863,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
8426406,Java*,Implicit dependence,['.java']
119789,HD*,Hidden dependence,['*']
5132476,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
22231878,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1377037,Java-C,FFI,"['.java', '.c']"
10296238,HD*,Hidden dependence,['*']
8046269,Java-C,FFI,"['.java', '.c']"
15920678,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
20413487,HD*,Hidden dependence,['*']
18190835,HD*,Hidden dependence,['*']
214710,HD*,Hidden dependence,['*']
10674033,Python*,Implicit dependence,['.py']
7297351,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
7044667,Java-C,FFI,"['.java', '.c']"
20094029,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
1938370,HD*,Hidden dependence,['*']
12165811,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
184604,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
10726510,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
668622,HD*,Hidden dependence,['*']
10372628,Python*,Implicit dependence,['.py']
4434405,HD*,Hidden dependence,['*']
11078351,HD*,Hidden dependence,['*']
29561893,HD*,Hidden dependence,['*']
11083045,HD*,Hidden dependence,['*']
97752,C++-Ruby,FFI,['.mm']
1953386,PHP*,Implicit dependence,['.php']
12163044,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
12526570,HD*,Hidden dependence,['*']
29929783,HD*,Hidden dependence,['*']
1754354,HD*,Hidden dependence,['*']
7074824,Java-C,FFI,"['.java', '.c']"
18065797,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
3625126,HD*,Hidden dependence,['*']
19130362,HD*,Hidden dependence,['*']
3504665,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
19025014,JavaScript*,Implicit dependence,"['.ts', '.js', '.html']"
22183003,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
5919188,Shell*,Implicit dependence,"['.sh', '.bsh', '.zsh']"
3803067,C-Python,FFI,"['.c', '.py']"
14979312,C++-Ruby,FFI,['.mm']
3480666,Java-C,FFI,"['.java', '.c']"
10289758,HD*,Hidden dependence,['*']
19386515,HD*,Hidden dependence,['*']
